company_name,category,blacklist
FONCIÈRE MAGELLAN,BANQUE/ASSURANCE/FINANCES,True
ICADE,DISTRIBUTION,True
FONDATION DE France,BANQUE/ASSURANCE/FINANCES,True
IKORY,DISTRIBUTION,True
FONDATION FRANCIS BOUYGUES,BANQUE/ASSURANCE/FINANCES,True
IROKO RESIDENCE,DISTRIBUTION,True
GAIPARE,BANQUE/ASSURANCE/FINANCES,True
JUNOT IMMOBILIER,DISTRIBUTION,True
GROUPE AXA,BANQUE/ASSURANCE/FINANCES,True
KAUFMAN ET BROAD,DISTRIBUTION,True
GROUPE BNP,BANQUE/ASSURANCE/FINANCES,True
LES SENIORIALES,DISTRIBUTION,True
GROUPE EDMOND DE ROTCHILD,BANQUE/ASSURANCE/FINANCES,True
LOISELET-DAIGREMONT SYND.,DISTRIBUTION,True
GROUPE PICTET,BANQUE/ASSURANCE/FINANCES,True
MARC FOUJOLS,DISTRIBUTION,True
HSBC,BANQUE/ASSURANCE/FINANCES,True
MICHAEL ZINGRAF,DISTRIBUTION,True
IG MARKET,BANQUE/ASSURANCE/FINANCES,True
NEXITY,DISTRIBUTION,True
IROKO,BANQUE/ASSURANCE/FINANCES,True
PATRICE BESSE,DISTRIBUTION,True
ISOVER,BANQUE/ASSURANCE/FINANCES,True
PICHET IMMOBILIER,DISTRIBUTION,True
JP MORGAN,BANQUE/ASSURANCE/FINANCES,True
PITCH PROMOTION,DISTRIBUTION,True
LA BANQUE POSTALE,BANQUE/ASSURANCE/FINANCES,True
PREFERENCE HOME,DISTRIBUTION,True
LA FRANCAISE,BANQUE/ASSURANCE/FINANCES,True
PRIAMS IMMOBILIER,DISTRIBUTION,True
LA MACIF,BANQUE/ASSURANCE/FINANCES,True
PROMO 6,DISTRIBUTION,True
LA MIF,BANQUE/ASSURANCE/FINANCES,True
PROMOGIM,DISTRIBUTION,True
LAZARD FRERE GESTION,BANQUE/ASSURANCE/FINANCES,True
REALITES,DISTRIBUTION,True
LES APPRENTIS D'AUTEUIL,BANQUE/ASSURANCE/FINANCES,True
RESIDE ETUDES,DISTRIBUTION,True
